Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.15	0.10000	0.040541	24.666	19.796	22.263	120.56	28.935	37.442	268.63	10.932	14.914	0.016632	vapor
298.15	0.20000	0.081493	12.271	19.767	22.221	114.70	29.044	37.750	267.86	10.937	14.924	0.016688	vapor
298.15	0.30000	0.12287	8.1389	19.738	22.180	111.23	29.155	38.066	267.09	10.942	14.934	0.016746	vapor
298.15	0.40000	0.16467	6.0727	19.709	22.138	108.74	29.267	38.391	266.31	10.947	14.944	0.016805	vapor
298.15	0.50000	0.20692	4.8328	19.680	22.096	106.78	29.380	38.723	265.53	10.952	14.955	0.016866	vapor
298.15	0.60000	0.24963	4.0060	19.650	22.053	105.17	29.495	39.065	264.74	10.957	14.967	0.016928	vapor
298.15	0.70000	0.29280	3.4153	19.620	22.010	103.78	29.611	39.415	263.95	10.961	14.979	0.016993	vapor
298.15	0.80000	0.33646	2.9721	19.589	21.967	102.57	29.729	39.776	263.15	10.966	14.991	0.017059	vapor
298.15	0.90000	0.38061	2.6273	19.558	21.923	101.49	29.849	40.147	262.34	10.971	15.004	0.017127	vapor
298.15	1.0000	0.42528	2.3514	19.527	21.879	100.50	29.970	40.528	261.53	10.976	15.018	0.017197	vapor
298.15	1.1000	0.47046	2.1256	19.496	21.834	99.604	30.093	40.920	260.71	10.981	15.032	0.017269	vapor
298.15	1.2000	0.51620	1.9373	19.464	21.789	98.772	30.218	41.325	259.89	10.985	15.047	0.017343	vapor
298.15	1.3000	0.56248	1.7778	19.432	21.743	97.997	30.344	41.741	259.06	10.990	15.063	0.017420	vapor
298.15	1.4000	0.60935	1.6411	19.400	21.697	97.270	30.473	42.171	258.22	10.994	15.079	0.017499	vapor
298.15	1.5000	0.65681	1.5225	19.367	21.651	96.583	30.603	42.615	257.38	10.999	15.096	0.017580	vapor
298.15	1.6000	0.70488	1.4187	19.334	21.603	95.932	30.736	43.073	256.53	11.003	15.113	0.017664	vapor
298.15	1.7000	0.75359	1.3270	19.300	21.556	95.312	30.871	43.546	255.67	11.007	15.132	0.017751	vapor
298.15	1.8000	0.80295	1.2454	19.266	21.508	94.719	31.009	44.036	254.81	11.012	15.151	0.017840	vapor
298.15	1.9000	0.85300	1.1723	19.231	21.459	94.151	31.149	44.542	253.94	11.015	15.171	0.017932	vapor
298.15	2.0000	0.90374	1.1065	19.196	21.409	93.603	31.291	45.067	253.06	11.019	15.191	0.018028	vapor
298.15	2.1000	0.95521	1.0469	19.161	21.359	93.074	31.436	45.611	252.17	11.023	15.213	0.018127	vapor
298.15	2.2000	1.0074	0.99261	19.125	21.309	92.563	31.584	46.176	251.27	11.026	15.236	0.018229	vapor
298.15	2.3000	1.0605	0.94299	19.089	21.258	92.066	31.735	46.762	250.37	11.029	15.259	0.018335	vapor
298.15	2.4000	1.1143	0.89744	19.052	21.206	91.584	31.889	47.371	249.45	11.032	15.284	0.018445	vapor
298.15	2.5000	1.1690	0.85547	19.014	21.153	91.113	32.047	48.005	248.53	11.035	15.309	0.018559	vapor
298.15	2.6000	1.2245	0.81666	18.976	21.100	90.654	32.208	48.665	247.60	11.037	15.336	0.018677	vapor
298.15	2.7000	1.2810	0.78066	18.938	21.046	90.205	32.372	49.354	246.65	11.040	15.364	0.018800	vapor
298.15	2.8000	1.3384	0.74716	18.899	20.991	89.765	32.540	50.072	245.70	11.041	15.393	0.018928	vapor
298.15	2.9000	1.3968	0.71591	18.859	20.935	89.333	32.713	50.823	244.74	11.043	15.424	0.019061	vapor
298.15	3.0000	1.4563	0.68668	18.818	20.878	88.908	32.889	51.608	243.76	11.044	15.455	0.019199	vapor
298.15	3.1000	1.5168	0.65926	18.777	20.821	88.489	33.071	52.431	242.78	11.044	15.488	0.019344	vapor
298.15	3.2000	1.5785	0.63349	18.735	20.763	88.077	33.257	53.294	241.78	11.044	15.523	0.019495	vapor
298.15	3.3000	1.6414	0.60922	18.693	20.703	87.669	33.448	54.201	240.77	11.043	15.559	0.019653	vapor
298.15	3.4000	1.7056	0.58630	18.650	20.643	87.267	33.644	55.156	239.74	11.042	15.597	0.019818	vapor
298.15	3.5000	1.7711	0.56462	18.605	20.581	86.867	33.847	56.161	238.70	11.041	15.637	0.019991	vapor
298.15	3.6000	1.8380	0.54408	18.560	20.519	86.472	34.055	57.223	237.65	11.038	15.679	0.020173	vapor
298.15	3.7000	1.9063	0.52457	18.514	20.455	86.079	34.270	58.346	236.58	11.035	15.722	0.020364	vapor
298.15	3.8000	1.9762	0.50601	18.467	20.390	85.688	34.493	59.536	235.50	11.031	15.768	0.020565	vapor
298.15	3.9000	2.0478	0.48833	18.419	20.324	85.298	34.722	60.800	234.40	11.026	15.816	0.020776	vapor
298.15	4.0000	2.1211	0.47145	18.370	20.256	84.910	34.961	62.145	233.28	11.021	15.866	0.021000	vapor
298.15	4.1000	2.1963	0.45532	18.320	20.187	84.523	35.207	63.580	232.14	11.014	15.920	0.021237	vapor
298.15	4.2000	2.2734	0.43986	18.268	20.116	84.135	35.464	65.115	230.98	11.006	15.976	0.021487	vapor
298.15	4.3000	2.3527	0.42504	18.216	20.043	83.747	35.731	66.762	229.80	10.997	16.035	0.021754	vapor
298.15	4.4000	2.4343	0.41080	18.162	19.969	83.357	36.009	68.534	228.60	10.986	16.097	0.022037	vapor
298.15	4.5000	2.5183	0.39710	18.106	19.893	82.966	36.300	70.447	227.37	10.974	16.163	0.022340	vapor
298.15	4.6000	2.6049	0.38389	18.049	19.814	82.572	36.605	72.520	226.12	10.960	16.232	0.022664	vapor
298.15	4.7000	2.6944	0.37113	17.989	19.734	82.175	36.925	74.776	224.84	10.944	16.306	0.023012	vapor
298.15	4.8000	2.7871	0.35880	17.928	19.651	81.774	37.261	77.241	223.53	10.927	16.385	0.023387	vapor
298.15	4.9000	2.8831	0.34685	17.865	19.565	81.368	37.616	79.948	222.18	10.906	16.469	0.023792	vapor
298.15	5.0000	2.9829	0.33525	17.800	19.476	80.956	37.992	82.938	220.79	10.884	16.558	0.024231	vapor
298.15	5.1000	3.0867	0.32397	17.732	19.384	80.537	38.392	86.260	219.37	10.858	16.654	0.024710	vapor
298.15	5.2000	3.1952	0.31297	17.661	19.289	80.110	38.819	89.978	217.90	10.829	16.757	0.025234	vapor
298.15	5.3000	3.3088	0.30223	17.587	19.189	79.673	39.277	94.172	216.38	10.796	16.869	0.025811	vapor
298.15	5.4000	3.4282	0.29170	17.510	19.085	79.224	39.770	98.947	214.80	10.759	16.989	0.026450	vapor
298.15	5.5000	3.5541	0.28136	17.429	18.976	78.762	40.306	104.44	213.15	10.717	17.120	0.027164	vapor
298.15	5.6000	3.6877	0.27117	17.342	18.861	78.284	40.891	110.85	211.43	10.668	17.264	0.027968	vapor
298.15	5.7000	3.8302	0.26108	17.251	18.739	77.786	41.538	118.44	209.62	10.613	17.422	0.028883	vapor
298.15	5.8000	3.9833	0.25105	17.153	18.609	77.264	42.258	127.59	207.70	10.548	17.598	0.029938	vapor
298.15	5.9000	4.1491	0.24101	17.047	18.469	76.712	43.073	138.89	205.65	10.473	17.796	0.031173	vapor
298.15	6.0000	4.3310	0.23089	16.932	18.317	76.123	44.010	153.28	203.43	10.384	18.022	0.032649	vapor
298.15	6.1000	4.5335	0.22058	16.804	18.150	75.485	45.116	172.39	200.99	10.276	18.284	0.034463	vapor
298.15	6.2000	4.7639	0.20991	16.659	17.961	74.779	46.470	199.31	198.24	10.143	18.596	0.036786	vapor
298.15	6.3000	5.0352	0.19860	16.490	17.741	73.974	48.226	240.90	195.01	9.9708	18.981	0.039955	vapor
298.15	6.4000	5.3737	0.18609	16.280	17.471	73.003	50.775	316.89	190.90	9.7314	19.493	0.044820	vapor
298.15	6.4342	5.5154	0.18131	16.192	17.359	72.606	52.013	361.42	189.12	9.6220	19.716	0.047280	vapor
298.15	6.4342	16.144	0.061942	11.695	12.093	54.945	47.108	284.63	274.26	2.2565	57.314	0.080798	liquid
298.15	6.5000	16.258	0.061509	11.653	12.053	54.798	46.584	266.59	281.58	2.1623	58.017	0.080748	liquid
298.15	6.6000	16.411	0.060935	11.597	11.999	54.597	45.980	245.97	291.19	2.0426	58.979	0.080827	liquid
298.15	6.7000	16.546	0.060436	11.547	11.952	54.418	45.518	230.49	299.57	1.9426	59.846	0.081013	liquid
298.15	6.8000	16.668	0.059994	11.502	11.910	54.255	45.143	218.30	307.09	1.8566	60.639	0.081260	liquid
298.15	6.9000	16.780	0.059594	11.460	11.871	54.105	44.827	208.37	313.98	1.7812	61.375	0.081543	liquid
298.15	7.0000	16.883	0.059230	11.421	11.835	53.965	44.553	200.08	320.36	1.7140	62.063	0.081847	liquid
298.15	7.1000	16.979	0.058895	11.384	11.802	53.834	44.312	193.01	326.34	1.6535	62.712	0.082163	liquid
298.15	7.2000	17.069	0.058584	11.349	11.771	53.711	44.096	186.89	331.98	1.5985	63.328	0.082486	liquid
298.15	7.3000	17.154	0.058294	11.317	11.742	53.594	43.900	181.53	337.32	1.5481	63.915	0.082812	liquid
298.15	7.4000	17.235	0.058022	11.286	11.715	53.483	43.722	176.78	342.42	1.5017	64.476	0.083139	liquid
298.15	7.5000	17.311	0.057766	11.256	11.689	53.377	43.558	172.52	347.29	1.4586	65.015	0.083465	liquid
298.15	7.6000	17.384	0.057524	11.227	11.665	53.276	43.407	168.69	351.97	1.4186	65.534	0.083789	liquid
298.15	7.7000	17.454	0.057294	11.200	11.641	53.178	43.268	165.21	356.47	1.3811	66.034	0.084110	liquid
298.15	7.8000	17.521	0.057075	11.174	11.619	53.084	43.138	162.03	360.80	1.3459	66.519	0.084428	liquid
298.15	7.9000	17.585	0.056866	11.148	11.598	52.993	43.017	159.11	364.99	1.3127	66.988	0.084742	liquid
298.15	8.0000	17.647	0.056667	11.124	11.577	52.906	42.904	156.41	369.05	1.2814	67.444	0.085052	liquid
298.15	8.1000	17.707	0.056475	11.100	11.557	52.821	42.797	153.92	372.98	1.2517	67.887	0.085358	liquid
298.15	8.2000	17.765	0.056292	11.077	11.538	52.738	42.698	151.60	376.80	1.2236	68.319	0.085661	liquid
298.15	8.3000	17.821	0.056115	11.055	11.520	52.659	42.604	149.43	380.51	1.1968	68.740	0.085959	liquid
298.15	8.4000	17.875	0.055945	11.033	11.503	52.581	42.515	147.40	384.12	1.1713	69.151	0.086253	liquid
298.15	8.5000	17.927	0.055781	11.012	11.486	52.505	42.432	145.50	387.64	1.1469	69.553	0.086544	liquid
298.15	8.6000	17.978	0.055622	10.991	11.469	52.431	42.353	143.71	391.08	1.1236	69.946	0.086831	liquid
298.15	8.7000	18.028	0.055469	10.971	11.453	52.359	42.278	142.02	394.43	1.1013	70.331	0.087113	liquid
298.15	8.8000	18.077	0.055320	10.951	11.438	52.289	42.206	140.42	397.71	1.0798	70.708	0.087392	liquid
298.15	8.9000	18.124	0.055176	10.932	11.423	52.221	42.139	138.90	400.91	1.0592	71.077	0.087668	liquid
298.15	9.0000	18.170	0.055036	10.913	11.409	52.153	42.075	137.46	404.05	1.0394	71.440	0.087940	liquid
298.15	9.1000	18.215	0.054900	10.895	11.395	52.088	42.014	136.10	407.12	1.0204	71.797	0.088209	liquid
298.15	9.2000	18.259	0.054768	10.877	11.381	52.023	41.955	134.80	410.13	1.0020	72.147	0.088474	liquid
298.15	9.3000	18.302	0.054640	10.859	11.367	51.960	41.900	133.55	413.08	0.98423	72.491	0.088736	liquid
298.15	9.4000	18.344	0.054515	10.842	11.355	51.899	41.847	132.37	415.97	0.96709	72.830	0.088995	liquid
298.15	9.5000	18.385	0.054393	10.825	11.342	51.838	41.796	131.23	418.82	0.95051	73.164	0.089250	liquid
298.15	9.6000	18.425	0.054274	10.809	11.330	51.778	41.747	130.14	421.61	0.93448	73.492	0.089503	liquid
298.15	9.7000	18.464	0.054158	10.792	11.318	51.720	41.701	129.10	424.35	0.91894	73.816	0.089753	liquid
298.15	9.8000	18.503	0.054045	10.776	11.306	51.663	41.656	128.10	427.05	0.90389	74.135	0.090000	liquid
298.15	9.9000	18.541	0.053934	10.760	11.294	51.606	41.614	127.14	429.70	0.88929	74.450	0.090245	liquid
298.15	10.000	18.578	0.053826	10.745	11.283	51.550	41.573	126.22	432.31	0.87512	74.760	0.090486	liquid
298.15	10.100	18.615	0.053720	10.730	11.272	51.496	41.533	125.32	434.88	0.86135	75.066	0.090725	liquid
298.15	10.200	18.651	0.053617	10.715	11.262	51.442	41.496	124.47	437.41	0.84798	75.369	0.090962	liquid
298.15	10.300	18.686	0.053516	10.700	11.251	51.389	41.459	123.64	439.91	0.83497	75.667	0.091196	liquid
298.15	10.400	18.721	0.053416	10.685	11.241	51.337	41.424	122.84	442.36	0.82232	75.962	0.091428	liquid
298.15	10.500	18.755	0.053319	10.671	11.231	51.285	41.391	122.07	444.78	0.81000	76.254	0.091657	liquid
298.15	10.600	18.789	0.053224	10.657	11.221	51.235	41.358	121.32	447.17	0.79800	76.542	0.091885	liquid
298.15	10.700	18.822	0.053130	10.643	11.212	51.185	41.327	120.60	449.53	0.78631	76.827	0.092110	liquid
298.15	10.800	18.854	0.053038	10.629	11.202	51.136	41.297	119.90	451.85	0.77491	77.109	0.092332	liquid
298.15	10.900	18.886	0.052948	10.616	11.193	51.087	41.268	119.22	454.14	0.76380	77.387	0.092553	liquid
298.15	11.000	18.918	0.052860	10.603	11.184	51.039	41.240	118.56	456.41	0.75295	77.663	0.092772	liquid
298.15	11.100	18.949	0.052773	10.589	11.175	50.992	41.213	117.93	458.64	0.74236	77.936	0.092989	liquid
298.15	11.200	18.980	0.052688	10.576	11.167	50.945	41.187	117.31	460.85	0.73201	78.207	0.093204	liquid
298.15	11.300	19.010	0.052604	10.564	11.158	50.899	41.162	116.71	463.03	0.72191	78.474	0.093417	liquid
298.15	11.400	19.040	0.052521	10.551	11.150	50.853	41.137	116.12	465.18	0.71203	78.739	0.093628	liquid
298.15	11.500	19.069	0.052440	10.538	11.141	50.808	41.114	115.56	467.31	0.70237	79.002	0.093837	liquid
298.15	11.600	19.098	0.052361	10.526	11.133	50.763	41.091	115.01	469.41	0.69293	79.262	0.094044	liquid
298.15	11.700	19.127	0.052282	10.514	11.126	50.719	41.069	114.47	471.49	0.68369	79.520	0.094250	liquid
298.15	11.800	19.155	0.052205	10.502	11.118	50.676	41.048	113.95	473.55	0.67464	79.775	0.094455	liquid
