Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
333.15	10.000	6.5883	0.15178	17.187	18.705	75.015	41.347	133.47	229.93	6.2836	23.517	0.040459	supercritical
333.15	11.000	8.1299	0.12300	16.468	17.821	71.950	42.875	169.81	231.33	5.3843	26.815	0.047686	supercritical
333.15	12.000	9.8711	0.10131	15.711	16.927	68.933	43.637	193.60	240.91	4.3513	31.467	0.054600	supercritical
333.15	13.000	11.483	0.087087	15.050	16.182	66.416	43.429	187.42	260.07	3.4105	36.744	0.059573	supercritical
333.15	14.000	12.756	0.078398	14.543	15.640	64.542	42.805	168.48	284.33	2.7016	41.649	0.063246	supercritical
333.15	15.000	13.726	0.072853	14.158	15.251	63.147	42.199	151.14	309.20	2.1972	45.881	0.066388	supercritical
333.15	16.000	14.485	0.069035	13.857	14.961	62.065	41.700	137.95	332.89	1.8335	49.518	0.069219	supercritical
333.15	17.000	15.101	0.066221	13.611	14.736	61.187	41.309	128.16	354.93	1.5624	52.698	0.071803	supercritical
333.15	18.000	15.616	0.064038	13.403	14.556	60.449	41.005	120.69	375.37	1.3529	55.532	0.074173	supercritical
333.15	19.000	16.057	0.062277	13.223	14.407	59.812	40.766	114.83	394.38	1.1858	58.098	0.076362	supercritical
333.15	20.000	16.444	0.060814	13.065	14.281	59.251	40.577	110.11	412.13	1.0493	60.451	0.078395	supercritical
333.15	21.000	16.787	0.059571	12.923	14.174	58.749	40.426	106.22	428.77	0.93550	62.633	0.080297	supercritical
333.15	22.000	17.096	0.058494	12.795	14.081	58.294	40.305	102.98	444.45	0.83912	64.675	0.082087	supercritical
333.15	23.000	17.376	0.057549	12.677	14.000	57.877	40.207	100.23	459.27	0.75635	66.598	0.083781	supercritical
333.15	24.000	17.634	0.056708	12.568	13.929	57.491	40.129	97.868	473.34	0.68445	68.422	0.085390	supercritical
333.15	25.000	17.872	0.055953	12.467	13.866	57.133	40.067	95.818	486.73	0.62134	70.160	0.086926	supercritical
333.15	26.000	18.094	0.055268	12.373	13.810	56.797	40.017	94.019	499.52	0.56548	71.825	0.088398	supercritical
333.15	27.000	18.301	0.054642	12.284	13.759	56.481	39.977	92.428	511.76	0.51563	73.425	0.089812	supercritical
333.15	28.000	18.495	0.054067	12.200	13.714	56.182	39.946	91.009	523.51	0.47086	74.967	0.091174	supercritical
333.15	29.000	18.679	0.053536	12.121	13.674	55.898	39.922	89.735	534.82	0.43039	76.459	0.092490	supercritical
333.15	30.000	18.853	0.053042	12.046	13.637	55.628	39.904	88.585	545.73	0.39361	77.906	0.093765	supercritical
333.15	31.000	19.018	0.052581	11.974	13.604	55.370	39.891	87.539	556.26	0.36003	79.311	0.095001	supercritical
333.15	32.000	19.175	0.052150	11.905	13.574	55.123	39.882	86.584	566.45	0.32922	80.680	0.096202	supercritical
333.15	33.000	19.326	0.051744	11.839	13.547	54.886	39.876	85.708	576.33	0.30085	82.015	0.097372	supercritical
333.15	34.000	19.470	0.051362	11.776	13.522	54.657	39.874	84.900	585.92	0.27463	83.319	0.098512	supercritical
333.15	35.000	19.608	0.051000	11.715	13.500	54.437	39.874	84.154	595.24	0.25030	84.595	0.099625	supercritical
333.15	36.000	19.741	0.050657	11.656	13.480	54.224	39.876	83.461	604.32	0.22768	85.846	0.10071	supercritical
333.15	37.000	19.868	0.050331	11.600	13.462	54.019	39.880	82.817	613.16	0.20657	87.072	0.10178	supercritical
333.15	38.000	19.992	0.050021	11.545	13.446	53.819	39.885	82.215	621.79	0.18682	88.276	0.10282	supercritical
333.15	39.000	20.111	0.049724	11.492	13.431	53.626	39.892	81.651	630.21	0.16830	89.459	0.10384	supercritical
333.15	40.000	20.226	0.049441	11.440	13.418	53.438	39.900	81.122	638.45	0.15090	90.624	0.10484	supercritical
333.15	41.000	20.338	0.049170	11.391	13.406	53.256	39.909	80.625	646.50	0.13451	91.770	0.10583	supercritical
333.15	42.000	20.446	0.048910	11.342	13.396	53.078	39.919	80.156	654.38	0.11904	92.899	0.10679	supercritical
333.15	43.000	20.551	0.048660	11.295	13.387	52.905	39.930	79.712	662.11	0.10442	94.013	0.10774	supercritical
333.15	44.000	20.653	0.048420	11.249	13.380	52.736	39.941	79.293	669.68	0.090577	95.111	0.10868	supercritical
333.15	45.000	20.752	0.048188	11.205	13.373	52.571	39.953	78.896	677.11	0.077446	96.196	0.10960	supercritical
333.15	46.000	20.849	0.047965	11.161	13.367	52.410	39.966	78.518	684.41	0.064972	97.267	0.11051	supercritical
333.15	47.000	20.943	0.047750	11.119	13.363	52.252	39.979	78.160	691.57	0.053107	98.326	0.11140	supercritical
333.15	48.000	21.034	0.047541	11.077	13.359	52.098	39.993	77.818	698.61	0.041805	99.373	0.11229	supercritical
333.15	49.000	21.124	0.047340	11.037	13.356	51.947	40.007	77.492	705.53	0.031026	100.41	0.11316	supercritical
333.15	50.000	21.211	0.047145	10.997	13.354	51.799	40.022	77.181	712.33	0.020734	101.43	0.11401	supercritical
