x,z,sig_zz,sig_xx
0, 150, -2.35872e+006, -2.16443e+006
2, 150, -2.34934e+006, -1.90961e+006
4, 150, -2.32004e+006, -1.66417e+006
6, 150, -2.30823e+006, -1.42174e+006
8, 150, -2.30122e+006, -1.18828e+006
10, 150, -2.30122e+006, -1.18828e+006
12, 150, -2.29109e+006, -969693
14, 150, -2.18884e+006, -944130
16, 150, -2.2896e+006, -708743
18, 150, -2.1256e+006, -639969
20, 150, -2.14634e+006, -351269
22, 150, -2.14703e+006, -354023
24, 150, -2.02803e+006, -205210
26, 150, -2.02803e+006, -205210
28, 150, -1.95586e+006, -82409
30, 150, -1.95586e+006, -82409
32, 150, -1.84525e+006, 8273.59
34, 150, -1.84525e+006, 8273.59
36, 150, -1.75402e+006, 81781.5
38, 150, -1.75402e+006, 81781.5
40, 150, -1.75402e+006, 81781.5
42, 150, -1.58282e+006, 139221
44, 150, -1.58282e+006, 139221
46, 150, -1.47563e+006, 166017
48, 150, -1.47563e+006, 166017
50, 150, -1.50096e+006, 163174
52, 150, -1.34166e+006, 186239
54, 150, -1.34166e+006, 186239
56, 150, -1.16816e+006, 201694
58, 150, -1.20879e+006, 175226
60, 150, -1.20879e+006, 175226
62, 150, -1.08494e+006, 206187
64, 150, -1.12856e+006, 172005
66, 150, -1.12856e+006, 172005
68, 150, -1.12856e+006, 172005
70, 150, -942960, 218406
72, 150, -942960, 218406
74, 150, -942960, 218406
76, 150, -924148, 147135
78, 150, -924148, 147135
80, 150, -924148, 147135
82, 150, -924148, 147135
84, 150, -793499, 179796
86, 150, -791506, 136310
88, 150, -791506, 136310
90, 150, -710079, 156665
92, 150, -710079, 156665
94, 150, -710079, 156665
96, 150, -730630, 116618
98, 150, -628034, 142267
100, 150, -628034, 142267
102, 150, -628034, 142267
104, 150, -628034, 142267
106, 150, -665174, 98723.1
108, 150, -562539, 124381
110, 150, -612494, 82698.6
112, 150, -612494, 82698.6
114, 150, -612494, 82698.6
116, 150, -520061, 105807
118, 150, -520061, 105807
120, 150, -520061, 105807
122, 150, -520061, 105807
124, 150, -520483, 75558.8
126, 150, -520483, 75558.8
128, 150, -478240, 74162.1
130, 150, -478240, 74162.1
132, 150, -478240, 74162.1
134, 150, -502809, 57455.1
136, 150, -502809, 57455.1
138, 150, -445763, 71716.8
140, 150, -445763, 71716.8
142, 150, -445763, 71716.8
144, 150, -445763, 71716.8
146, 150, -445763, 71716.8
148, 150, -415591, 53974.3
150, 150, -415591, 53974.3
152, 150, -415591, 53974.3
154, 150, -425107, 43131.7
156, 150, -425107, 43131.7
158, 150, -425107, 43131.7
160, 150, -395520, 37534.1
162, 150, -395520, 37534.1
164, 150, -395520, 37534.1
166, 150, -395520, 37534.1
168, 150, -395520, 37534.1
170, 150, -395520, 37534.1
172, 150, -395520, 37534.1
174, 150, -379828, 23668.7
176, 150, -379828, 23668.7
178, 150, -379828, 23668.7
180, 150, -379828, 23668.7
182, 150, -379828, 23668.7
184, 150, -379828, 23668.7
186, 150, -370837, 25916.4
188, 150, -370837, 25916.4
190, 150, -370837, 25916.4
192, 150, -370837, 25916.4
194, 150, -370837, 25916.4
196, 150, -370837, 25916.4
198, 150, -370837, 25916.4
