Time(s)	LoadCell(lb)	Disp(in)
0	4.12982514	0
1.5	4.12982514	0.00165424
3.01	4.12982514	0.00164336
4.52	4.12982514	0.00163248
7.53	4.12982514	0.00164336
9.03	4.95579017	0.00163248
10.54	4.12982514	0.00173043
12.04	4.12982514	0.00199162
13.54	4.95579017	0.00241607
15.05	4.12982514	0.00282963
16.55	4.95579017	0.00323231
18.06	4.12982514	0.00348262
19.56	4.95579017	0.0038853
21.07	4.12982514	0.00429886
22.57	4.12982514	0.0047233
24.08	4.12982514	0.0049845
25.58	4.12982514	0.00536541
27.09	4.12982514	0.00577897
28.59	4.12982514	0.00620341
30.09	4.12982514	0.00648638
31.6	4.12982514	0.00686729
33.1	4.12982514	0.00729173
34.61	4.12982514	0.00771618
36.11	3.30386011	0.00795561
37.62	4.12982514	0.00830387
39.12	4.95579017	0.00865213
40.63	4.95579017	0.00903304
42.14	6.60772022	0.00929424
43.64	8.25965028	0.00966427
45.14	10.73754536	0.01001253
46.65	14.04140548	0.01036079
48.15	17.34526559	0.01057845
49.66	23.95298581	0.01083965
51.16	31.38667107	0.01108996
52.67	38.82035632	0.01135116
54.17	43.77614649	0.01151441
55.68	52.03579677	0.01174295
57.18	60.29544705	0.01199327
58.69	68.55509733	0.01222181
60.19	74.33685252	0.01241771
61.7	80.94457275	0.01270067
63.2	88.378258	0.0130054
64.7	94.98597823	0.01331013
66.21	99.11580337	0.01351691
67.71	102.4196635	0.01388694
69.22	100.7677334	0.0143005
70.72	99.11580337	0.01472495
72.23	91.68211811	0.01505144
73.73	85.90036292	0.01554119
75.24	84.24843286	0.01603093
76.74	80.94457275	0.01636831
78.25	75.16281755	0.01687982
