DEPTH	Res. Pressure	Density	dt-comp	dt-shear	Porosity
[ft]	[psi]	[g/cc]	[us/ft]	[us/ft]	[-]
1750	700	1.87	177	477	0.37
1755	702	1.86	176	479	0.38
1760	704	1.85	180	481	0.39
1765	706	1.86	180	482	0.38
1770	708	1.87	177	473	0.37
1775	710	1.83	168	473	0.40
1780	712	1.86	170	481	0.38
1785	714	1.77	188	469	0.39
1790	716	1.88	161	456	0.37
1795	718	1.86	153	476	0.38
1800	720	1.77	176	495	0.39
1805	722	1.66	195	499	0.47
1810	724	1.62	188	458	0.50
1815	726	1.71	179	486	0.43
1820	728	1.6	241	516	0.51
1825	730	1.49	246	537	0.55
1830	732	1.42	231	529	0.61
1835	750	1.41	256	501	0.62
1840	768	1.45	246	479	0.58
1845	787	1.61	257	494	0.50
1850	805	1.58	261	503	0.52
1855	823	1.52	259	498	0.53
1860	841	1.55	232	513	0.55
1865	863	1.52	234	481	0.53
1870	861	1.48	240	466	0.56
1875	859	1.75	221	485	0.40
1880	857	1.6	202	488	0.51
1885	855	1.54	223	496	0.51
1890	853	1.61	204	485	0.50
1895	852	1.63	208	491	0.49
1900	850	1.62	210	493	0.50
1905	848	1.54	198	461	0.51
1910	846	1.9	208	489	0.35
1915	844	1.57	217	474	0.53
1920	842	1.61	202	482	0.50
1925	843	2.4	199	503	0.03
1930	844	1.58	207	489	0.52
1935	845	1.67	200	445	0.46
1940	847	1.78	183	427	0.38
1945	848	1.82	186	419	0.41
1950	849	1.82	192	429	0.41
1955	850	1.82	186	425	0.41
1960	851	1.85	172	435	0.39
1965	852	1.83	187	453	0.40
1970	854	1.72	194	497	0.42
1975	855	1.55	259	493	0.55
1980	856	1.5	270	486	0.55
1985	857	1.57	267	508	0.53
1990	857	1.44	279	514	0.59
1995	858	1.42	255	499	0.61
2000	860	1.45	267	501	0.58
2005	861	1.44	277	494	0.59
2010	863	1.53	240	489	0.52
2015	869	1.47	255	430	0.57
2020	876	1.92	243	478	0.34
2025	880	1.64	234	487	0.48
2030	883	1.58	215	467	0.52
2035	887	1.68	212	484	0.45
2040	891	1.43	199	443	0.60
2045	894	1.66	177	407	0.47
2050	898	1.82	171	432	0.41
2055	902	1.62	221	456	0.50
2060	905	1.56	205	441	0.54
2065	909	1.57	203	421	0.53
2070	913	1.73	212	416	0.42
2075	916	1.76	227	435	0.40
2080	920	1.68	196	432	0.45
2085	924	1.7	191	444	0.44
2090	927	1.65	197	427	0.47
2095	931	1.64	184	403	0.48
2100	935	1.83	158	415	0.40
2105	938	1.88	187	456	0.37
2110	942	1.61	196	453	0.50
2115	946	1.61	221	455	0.50
2120	949	1.57	227	456	0.53
2125	953	1.53	221	456	0.52
2130	957	1.53	216	450	0.52
2135	960	1.51	229	443	0.54
2140	964	1.5	237	448	0.55
2145	968	1.46	246	442	0.58
2150	971	1.49	242	449	0.55
2155	975	1.53	244	463	0.52
2160	979	1.38	260	466	0.64
2165	982	1.38	262	470	0.64
2170	986	1.35	259	474	0.66
2175	990	1.34	264	472	0.67
2180	1001	1.34	271	460	0.67
2185	1012	1.36	265	474	0.66
2190	1029	1.34	277	469	0.67
2195	1029	1.38	266	444	0.64
2200	1030	1.43	245	443	0.60
2205	1030	1.44	239	448	0.59
2210	1031	1.45	202	393	0.58
2215	1040	1.82	171	404	0.41
2220	1050	1.63	193	404	0.49
2225	1059	1.67	185	391	0.46
2230	1069	1.69	183	394	0.45
2235	1078	1.68	194	403	0.45
2240	1088	1.74	213	423	0.41
2245	1097	1.67	238	442	0.46
2250	1107	1.52	268	443	0.53
2255	1116	1.47	256	428	0.57
2260	1126	1.54	240	402	0.51
2265	1135	1.8	222	407	0.42
2270	1144	1.67	231	404	0.46
2275	1154	1.73	247	414	0.42
2280	1163	1.56	253	403	0.54
2285	1173	1.62	254	408	0.50
2290	1182	1.56	249	403	0.54
2295	1193	1.55	257	406	0.55
2300	1203	1.6	234	421	0.51
2305	1214	1.58	230	409	0.52
2310	1224	1.67	240	406	0.46
2315	1235	1.68	236	409	0.45
2320	1245	1.65	215	412	0.47
2325	1256	1.57	237	374	0.53
2330	1267	1.65	243	377	0.47
2335	1277	1.67	214	372	0.46
2340	1288	1.61	239	386	0.50
2345	1298	1.5	225	369	0.55
2350	1315	1.56	231	378	0.54
2355	1320	1.53	245	415	0.52
2360	1324	1.48	267	407	0.56
2365	1326	1.4	244	405	0.62
2370	1328	1.48	266	410	0.56
2375	1330	1.52	258	419	0.53
2380	1332	1.5	239	409	0.55
2385	1334	1.64	237	416	0.48
2390	1336	1.66	227	389	0.47
2395	1338	1.66	231	351	0.47
2400	1340	1.67	215	324	0.46
2405	1342	1.77	203	397	0.39
2410	1344	1.69	234	410	0.45
2415	1346	1.59	233	370	0.52
2420	1348	1.6	181	413	0.51
2425	1350	1.74	174	403	0.41
2430	1352	1.79	177	363	0.37
2435	1354	1.78	165	381	0.38
2440	1356	1.72	160	352	0.42
2445	1358	1.78	161	390	0.38
2450	1360	1.78	169	361	0.38
2455	1362	1.77	163	356	0.39
2460	1364	1.72	176	396	0.42
2465	1366	1.88	175	408	0.37
2470	1368	1.8	184	402	0.42
2475	1370	1.8	192	397	0.42
2480	1372	1.76	187	387	0.40
2485	1374	1.65	180	392	0.47
2490	1376	1.93	184	394	0.33
2495	1378	1.88	171	385	0.37
2500	1380	1.9	196	406	0.35
2505	1382	1.85	186	401	0.39
2510	1384	1.9	174	393	0.35
2515	1386	1.9	165	369	0.35
2520	1388	1.91	156	385	0.35
2525	1390	1.88	185	395	0.37
2530	1392	1.83	166	394	0.40
2535	1394	1.89	170	400	0.36
2540	1396	1.88	170	399	0.37
2545	1398	1.93	163	381	0.33
2550	1400	1.96	169	360	0.32
2555	1402	1.84	171	335	0.39
2560	1404	1.76	158	383	0.40
2565	1406	1.94	167	397	0.33
2570	1408	1.95	175	403	0.32
2575	1410	1.91	174	414	0.35
2580	1412	1.95	165	369	0.32
