Depth(MD)	DTC	DTS	Bulk Density
[ft]	[us/ft]	[us/ft]	[g/cc]
1864	-999.25	-999.25	-999.25
1864.5	-999.25	-999.25	-999.25
1865	-999.25	-999.25	-999.25
1865.5	-999.25	-999.25	-999.25
1866	-999.25	-999.25	-999.25
1866.5	-999.25	-999.25	-999.25
1867	-999.25	-999.25	-999.25
1867.5	-999.25	-999.25	-999.25
1868	-999.25	-999.25	-999.25
1868.5	-999.25	-999.25	-999.25
1869	-999.25	-999.25	-999.25
1869.5	-999.25	-999.25	-999.25
1870	-999.25	-999.25	-999.25
1870.5	-999.25	-999.25	-999.25
1871	-999.25	-999.25	-999.25
1871.5	-999.25	-999.25	-999.25
1872	-999.25	-999.25	-999.25
1872.5	-999.25	-999.25	-999.25
1873	-999.25	-999.25	-999.25
1873.5	-999.25	-999.25	-999.25
1874	-999.25	-999.25	-999.25
1874.5	-999.25	-999.25	-999.25
1875	-999.25	-999.25	-999.25
1875.5	-999.25	-999.25	-999.25
1876	-999.25	-999.25	-999.25
1876.5	-999.25	-999.25	-999.25
1877	-999.25	-999.25	-999.25
1877.5	-999.25	-999.25	-999.25
1878	-999.25	-999.25	-999.25
1878.5	-999.25	-999.25	-999.25
1879	-999.25	-999.25	-999.25
1879.5	-999.25	-999.25	-999.25
1880	-999.25	-999.25	-999.25
1880.5	-999.25	-999.25	-999.25
1881	-999.25	-999.25	-999.25
1881.5	-999.25	-999.25	-999.25
1882	-999.25	-999.25	-999.25
1882.5	-999.25	-999.25	-999.25
1883	-999.25	-999.25	-999.25
1883.5	-999.25	-999.25	-999.25
1884	-999.25	-999.25	-999.25
1884.5	-999.25	-999.25	-999.25
1885	-999.25	-999.25	-999.25
1885.5	-999.25	-999.25	-999.25
1886	-999.25	-999.25	-999.25
1886.5	-999.25	-999.25	-999.25
1887	-999.25	-999.25	1.823
1887.5	-999.25	-999.25	1.814
1888	-999.25	-999.25	1.809
1888.5	-999.25	-999.25	1.808
1889	-999.25	-999.25	1.81
1889.5	-999.25	-999.25	1.814
1890	-999.25	-999.25	1.815
1890.5	-999.25	-999.25	1.81
1891	-999.25	-999.25	1.801
1891.5	-999.25	-999.25	1.792
1892	-999.25	-999.25	1.789
1892.5	-999.25	-999.25	1.792
1893	-999.25	-999.25	1.798
1893.5	-999.25	-999.25	1.8
1894	-999.25	-999.25	1.799
1894.5	-999.25	-999.25	1.798
1895	-999.25	-999.25	1.794
1895.5	-999.25	-999.25	1.788
1896	-999.25	-999.25	1.785
1896.5	-999.25	-999.25	1.789
1897	-999.25	-999.25	1.796
1897.5	-999.25	-999.25	1.801
1898	-999.25	-999.25	1.808
1898.5	-999.25	-999.25	1.818
1899	-999.25	-999.25	1.827
1899.5	-999.25	-999.25	1.831
1900	-999.25	-999.25	1.833
1900.5	-999.25	-999.25	1.835
1901	-999.25	-999.25	1.838
1901.5	-999.25	-999.25	1.841
1902	-999.25	-999.25	1.846
1902.5	-999.25	-999.25	1.86
1903	-999.25	-999.25	1.882
1903.5	-999.25	-999.25	1.9
1904	-999.25	-999.25	1.898
1904.5	-999.25	-999.25	1.89
1905	-999.25	-999.25	1.901
1905.5	-999.25	-999.25	1.933
1906	-999.25	-999.25	1.964
1906.5	-999.25	-999.25	1.983
1907	-999.25	-999.25	1.995
1907.5	-999.25	-999.25	2.001
1908	-999.25	-999.25	2.004
1908.5	-999.25	-999.25	2.007
1909	-999.25	-999.25	2.009
1909.5	-999.25	-999.25	2.01
1910	-999.25	-999.25	2.01
1910.5	-999.25	-999.25	2.011
1911	-999.25	-999.25	2.014
1911.5	-999.25	-999.25	2.017
1912	-999.25	-999.25	2.018
1912.5	-999.25	-999.25	2.018
1913	-999.25	-999.25	2.019
1913.5	-999.25	-999.25	2.021
1914	-999.25	-999.25	2.022
1914.5	-999.25	-999.25	2.021
1915	-999.25	-999.25	2.025
1915.5	-999.25	-999.25	2.03
1916	-999.25	-999.25	2.029
1916.5	-999.25	-999.25	2.024
1917	-999.25	-999.25	2.011
1917.5	-999.25	-999.25	1.991
1918	-999.25	-999.25	1.975
1918.5	-999.25	-999.25	1.959
1919	-999.25	-999.25	1.935
1919.5	-999.25	-999.25	1.912
1920	-999.25	-999.25	1.895
1920.5	-999.25	-999.25	1.882
1921	-999.25	-999.25	1.867
1921.5	-999.25	-999.25	1.855
1922	162.203	-999.25	1.849
1922.5	162.318	-999.25	1.847
1923	162.278	-999.25	1.844
1923.5	161.966	-999.25	1.839
1924	162.575	-999.25	1.833
1924.5	163.823	-999.25	1.829
1925	166.206	-999.25	1.828
1925.5	170.03	-999.25	1.826
1926	172.876	-999.25	1.819
1926.5	175.017	-999.25	1.811
1927	171.034	-999.25	1.801
1927.5	164.396	-999.25	1.792
1928	157.47	-999.25	1.784
1928.5	151.834	-999.25	1.778
1929	150.987	-999.25	1.776
1929.5	152.568	-999.25	1.779
1930	158.812	-999.25	1.782
1930.5	160.363	-999.25	1.783
1931	160.608	-999.25	1.787
1931.5	159.392	-999.25	1.798
1932	158.734	-999.25	1.814
1932.5	159.113	-999.25	1.831
1933	160.165	-999.25	1.842
1933.5	161.549	-999.25	1.85
1934	162.506	-999.25	1.856
1934.5	163.119	-999.25	1.86
1935	163.874	-999.25	1.861
1935.5	165.165	-999.25	1.856
1936	166.264	-999.25	1.854
1936.5	167.164	-999.25	1.859
1937	167.871	-999.25	1.871
1937.5	168.333	-999.25	1.88
1938	167.847	-999.25	1.876
1938.5	165.023	-999.25	1.851
1939	159.038	-999.25	1.818
1939.5	154.755	-999.25	1.799
1940	150.943	-999.25	1.805
1940.5	150.156	-999.25	1.837
1941	147.76	-999.25	1.886
1941.5	145.818	-999.25	1.924
1942	145.342	-999.25	1.916
1942.5	145.188	-999.25	1.869
1943	147.374	-999.25	1.82
1943.5	151.184	-999.25	1.801
1944	154.679	-999.25	1.813
1944.5	157.413	-999.25	1.844
1945	158.069	-999.25	1.869
1945.5	158.96	-999.25	1.877
1946	160.883	-999.25	1.876
1946.5	162.841	-999.25	1.875
1947	164.532	-999.25	1.871
1947.5	165.528	-999.25	1.863
1948	165.333	-999.25	1.863
1948.5	163.999	-999.25	1.875
1949	162.721	-999.25	1.893
1949.5	161.507	-999.25	1.908
1950	160.83	-999.25	1.916
1950.5	160.104	-999.25	1.921
1951	159.091	-999.25	1.926
1951.5	157.697	-999.25	1.933
1952	156.867	-999.25	1.941
1952.5	156.858	-999.25	1.947
1953	157.359	-999.25	1.948
1953.5	158.239	-999.25	1.943
1954	158.681	-999.25	1.931
1954.5	158.494	-999.25	1.914
1955	157.655	-999.25	1.901
1955.5	156.785	-999.25	1.904
1956	155.841	-999.25	1.929
1956.5	155.068	-999.25	1.969
1957	154.92	-999.25	2.002
1957.5	155.872	-999.25	2.015
1958	156.675	-999.25	1.999
1958.5	156.985	-999.25	1.968
1959	156.961	-999.25	1.943
1959.5	156.656	-999.25	1.929
1960	156.6	-999.25	1.923
1960.5	156.771	-999.25	1.921
1961	157.283	-999.25	1.915
1961.5	157.743	-999.25	1.9
1962	158.077	-999.25	1.877
1962.5	157.843	-999.25	1.852
1963	157.437	-999.25	1.827
1963.5	156.828	-999.25	1.807
1964	156.398	-999.25	1.794
1964.5	156.363	-999.25	1.788
1965	156.23	-999.25	1.787
1965.5	155.982	-999.25	1.782
1966	155.416	-999.25	1.772
1966.5	155.023	-999.25	1.766
1967	154.319	-999.25	1.768
1967.5	154.254	-999.25	1.774
1968	154.456	-999.25	1.776
1968.5	154.977	-999.25	1.772
1969	155.278	-999.25	1.768
1969.5	155.574	-999.25	1.769
1970	155.513	-999.25	1.774
1970.5	155.728	-999.25	1.779
1971	156.294	-999.25	1.785
1971.5	155.815	-999.25	1.79
1972	155.387	-999.25	1.794
1972.5	154.961	-999.25	1.794
1973	154.974	-999.25	1.793
1973.5	154.856	-999.25	1.794
1974	154.752	-999.25	1.8
1974.5	154.481	-999.25	1.81
1975	154.211	-999.25	1.822
1975.5	154.11	-999.25	1.833
1976	154.522	-999.25	1.845
1976.5	154.997	-999.25	1.859
1977	154.792	-999.25	1.872
1977.5	154.216	-999.25	1.881
1978	153.364	-999.25	1.888
1978.5	152.764	-999.25	1.902
1979	151.807	-999.25	1.919
1979.5	151.083	-999.25	1.935
1980	150.551	-999.25	1.955
1980.5	150.41	-999.25	1.981
1981	151.191	-999.25	2.004
1981.5	151.692	-999.25	2.016
1982	152.706	-999.25	2.018
1982.5	153.465	-999.25	2.017
1983	154.251	-999.25	2.022
1983.5	154.562	-999.25	2.03
1984	154.828	-999.25	2.036
1984.5	154.582	-999.25	2.036
1985	155.2	-999.25	2.032
1985.5	155.702	-999.25	2.024
1986	156.347	-999.25	2.014
1986.5	155.687	-999.25	2.002
1987	154.661	-999.25	1.992
1987.5	152.794	-999.25	1.985
1988	151.558	-999.25	1.971
1988.5	151.711	-999.25	1.939
1989	152.103	-999.25	1.902
1989.5	152.827	-999.25	1.879
1990	153.727	-999.25	1.874
1990.5	154.877	-999.25	1.881
1991	156.95	-999.25	1.892
1991.5	159.058	-999.25	1.901
1992	158.94	-999.25	1.902
1992.5	156.628	-999.25	1.9
1993	153.646	-999.25	1.902
1993.5	150.984	-999.25	1.901
1994	148.313	-999.25	1.884
1994.5	145.047	-999.25	1.846
1995	142.142	-999.25	1.802
1995.5	141.059	-999.25	1.769
1996	140.522	-999.25	1.755
1996.5	141.359	-999.25	1.755
1997	140.329	-999.25	1.769
1997.5	139.661	-999.25	1.798
1998	139.77	-999.25	1.843
1998.5	138.568	-999.25	1.894
1999	138.607	-999.25	1.936
1999.5	137.128	-999.25	1.96
2000	137.018	-999.25	1.977
2000.5	135.955	-999.25	1.993
2001	135.433	-999.25	2.001
2001.5	134.713	-999.25	1.994
2002	136.072	-999.25	1.978
2002.5	137.202	-999.25	1.956
2003	137.482	-999.25	1.917
2003.5	137.759	-999.25	1.866
2004	137.878	-999.25	1.826
2004.5	137.98	-999.25	1.808
2005	137.202	-999.25	1.804
2005.5	136.276	-999.25	1.801
2006	135.187	-999.25	1.797
2006.5	134.818	-999.25	1.794
2007	133.789	-999.25	1.792
2007.5	133.275	-999.25	1.789
2008	132.895	-999.25	1.787
2008.5	133.572	-999.25	1.787
2009	134.263	-999.25	1.79
2009.5	134.959	-999.25	1.797
2010	135.349	-999.25	1.806
2010.5	136.452	-999.25	1.819
2011	137.749	-999.25	1.846
2011.5	138.111	-999.25	1.887
2012	137.887	-999.25	1.923
2012.5	136.358	-999.25	1.945
2013	135.299	-999.25	1.976
2013.5	136.282	-999.25	2.029
2014	137.718	-999.25	2.08
2014.5	139.092	-999.25	2.081
2015	139.809	-999.25	2.005
2015.5	140.193	-999.25	1.887
2016	140.85	-999.25	1.794
2016.5	141.144	-999.25	1.766
2017	141.93	-999.25	1.806
2017.5	142.417	-999.25	1.883
2018	143.167	-999.25	1.947
2018.5	143.474	-999.25	1.966
2019	144.199	-999.25	1.939
2019.5	143.948	-999.25	1.888
2020	142.292	-999.25	1.844
2020.5	137.227	-999.25	1.825
2021	132.043	-999.25	1.829
2021.5	126.337	-999.25	1.843
2022	124.314	-999.25	1.846
2022.5	125.508	-999.25	1.819
2023	131.489	-999.25	1.772
2023.5	137.504	-999.25	1.731
2024	144.611	-999.25	1.709
2024.5	146.888	-999.25	1.711
2025	147.348	-999.25	1.746
2025.5	148.554	-999.25	1.815
2026	148.514	-999.25	1.887
2026.5	146.511	-999.25	1.906
2027	141.345	-999.25	1.868
2027.5	134.98	-999.25	1.824
2028	132.462	-999.25	1.814
2028.5	132.377	-999.25	1.834
2029	134.453	-999.25	1.851
2029.5	136.343	-999.25	1.841
2030	137.759	-999.25	1.808
2030.5	139.202	-999.25	1.78
2031	140.601	-999.25	1.774
2031.5	142.292	-999.25	1.789
2032	142.05	-999.25	1.8
2032.5	140.341	-999.25	1.795
2033	138.634	-999.25	1.789
2033.5	138.115	-999.25	1.791
2034	137.996	-999.25	1.783
2034.5	135.856	-999.25	1.757
2035	131.506	-999.25	1.732
2035.5	132.162	-999.25	1.724
2036	134.858	-999.25	1.736
2036.5	139.065	-999.25	1.759
2037	141.284	-999.25	1.779
2037.5	141.877	-999.25	1.789
2038	141.283	-999.25	1.8
2038.5	139.113	-999.25	1.834
2039	136.452	-999.25	1.865
2039.5	134.763	-999.25	1.876
2040	132.854	-999.25	1.886
2040.5	131.134	-999.25	1.915
2041	127.977	-999.25	1.928
2041.5	124.393	-999.25	1.906
2042	122.421	-999.25	1.875
2042.5	123.673	-999.25	1.869
2043	127.046	-999.25	1.88
2043.5	132.302	-999.25	1.852
2044	138.936	-999.25	1.777
2044.5	144.715	-999.25	1.714
2045	150.248	-999.25	1.705
2045.5	153.034	-999.25	1.721
2046	154.974	-999.25	1.731
2046.5	154.678	-999.25	1.747
2047	155.222	-999.25	1.778
2047.5	153.414	-999.25	1.817
2048	150.779	-999.25	1.866
2048.5	147.577	-999.25	1.943
2049	144.711	-999.25	2.029
2049.5	146.814	-999.25	2.066
2050	147.185	-999.25	2.023
2050.5	148.695	-999.25	1.941
2051	149.698	-999.25	1.882
2051.5	151.553	-999.25	1.88
2052	154.05	-999.25	1.926
2052.5	155.655	-999.25	1.988
2053	156.749	-999.25	2.014
2053.5	156.316	-999.25	1.993
2054	155.167	-999.25	1.981
2054.5	154.573	-999.25	2.009
2055	152.987	-999.25	2.04
2055.5	151.667	-999.25	2.034
2056	150.413	-999.25	2.024
2056.5	150.201	-999.25	2.041
2057	149.765	-999.25	2.065
2057.5	150.029	-999.25	2.065
2058	148.91	-999.25	2.053
2058.5	148.317	-999.25	2.042
2059	147.04	-999.25	2.026
2059.5	148.149	-999.25	2.009
2060	149.586	-999.25	2.012
2060.5	151.091	-999.25	2.037
2061	152.923	-999.25	2.051
2061.5	153.873	-999.25	2.011
2062	153.862	-999.25	1.934
2062.5	151.476	-999.25	1.898
2063	147.76	-999.25	1.944
2063.5	145.212	-999.25	2.042
2064	143.205	-999.25	2.11
2064.5	141.723	-999.25	2.121
2065	139.395	-999.25	2.12
2065.5	138.39	-999.25	2.131
2066	138.742	-999.25	2.137
2066.5	140.181	-999.25	2.126
2067	142.967	-999.25	2.102
2067.5	145.562	-999.25	2.076
2068	147.986	-999.25	2.058
2068.5	149.253	-999.25	2.046
2069	149.842	-999.25	2.036
2069.5	150.03	-999.25	2.028
2070	150.425	-999.25	2.023
2070.5	150.519	-999.25	2.019
2071	150.03	-999.25	2.012
2071.5	149.69	-999.25	2.002
2072	150.215	-999.25	1.988
2072.5	150.993	-999.25	1.972
2073	151.62	-999.25	1.961
2073.5	152.097	-999.25	1.964
2074	152.374	-999.25	1.979
2074.5	152.037	-999.25	1.994
2075	151.823	-999.25	2.003
2075.5	151.391	-999.25	2.008
2076	151.292	-999.25	2.014
2076.5	151.819	-999.25	2.025
2077	152.383	-999.25	2.036
2077.5	152.766	-999.25	2.041
2078	152.376	-999.25	2.036
2078.5	152.088	-999.25	2.026
2079	152.037	-999.25	2.014
2079.5	153.167	-999.25	2.004
2080	153.964	-999.25	1.993
2080.5	155.064	-999.25	1.977
2081	155.225	-999.25	1.96
2081.5	155.704	-999.25	1.944
2082	155.75	-999.25	1.909
2082.5	156.035	-999.25	1.836
2083	155.203	-999.25	1.754
2083.5	155.27	-999.25	1.72
2084	154.309	-999.25	1.753
2084.5	152.808	-999.25	1.84
2085	148.966	-999.25	1.941
