Time (s)	F (lb)	Xa (in)	Ya (in)
0	73.58195	1.71064E-05	4.1997E-07
1	71.87975	-3.44449E-06	5.9892E-07
2	74.27057	1.00966E-05	2.11763E-06
3	71.82877	2.19509E-06	1.58247E-06
4	73.09907	4.1784E-06	2.19823E-06
5	72.10548	0.000012312	1.1143E-06
6	73.59309	3.86936E-06	1.89888E-06
7	72.95203	3.90544E-06	1.69612E-06
8	72.89569	5.73713E-06	2.10097E-06
9	73.93544	1.21674E-05	1.63133E-06
10	73.20329	7.26476E-06	3.63716E-06
11	71.50023	2.51066E-06	2.96015E-06
12	74.18608	1.43396E-05	2.68447E-06
13	71.57157	1.22207E-05	4.43415E-07
14	72.9734	7.19519E-06	2.51031E-06
15	71.69288	4.64072E-06	3.38765E-06
16	72.66936	4.08634E-06	3.83711E-06
17	72.63029	1.26482E-05	2.77177E-06
18	71.79399	1.22202E-08	1.75466E-06
19	74.25659	2.38886E-05	1.78176E-06
20	73.47961	1.46863E-05	2.1878E-06
21	74.21981	5.32971E-06	2.85749E-06
22	72.53722	6.78607E-06	3.02759E-06
23	72.79659	2.08525E-05	3.06379E-06
24	71.63293	9.13169E-06	3.77184E-06
25	73.32076	9.069E-06	3.14273E-06
26	73.49198	7.40721E-06	2.86703E-06
27	71.88426	0.000012852	2.2068E-06
28	71.79317	2.04991E-05	2.81468E-06
29	72.83744	1.27732E-05	3.52753E-06
30	72.60369	9.33334E-06	3.88032E-06
31	74.0039	2.43283E-05	4.50152E-06
32	73.06577	2.03571E-05	4.35674E-06
33	71.74683	1.86073E-05	5.05335E-06
34	72.6324	1.72387E-05	4.06729E-06
35	73.98521	2.06916E-05	4.80695E-06
36	71.92996	1.22791E-05	4.30549E-06
37	72.7343	9.13128E-06	5.32093E-06
38	72.69794	2.87041E-05	5.16809E-06
39	72.22708	2.48554E-05	4.45435E-06
40	71.84414	8.16082E-06	3.3559E-06
41	73.36488	2.75023E-05	4.17354E-06
42	72.73775	1.04712E-05	4.98432E-06
43	74.30975	2.08152E-05	5.3621E-06
44	72.60663	2.15192E-05	4.68193E-06
45	72.40022	1.584E-05	5.17115E-06
46	74.0332	2.57782E-05	4.8926E-06
47	72.94817	1.8122E-05	4.09884E-06
48	74.21549	1.37447E-05	4.87639E-06
49	74.77365	2.07891E-05	4.47917E-06
50	72.7355	2.52548E-05	5.15284E-06
