TVD (ft) =	7503.00	ft
		
Time (minutes)	Pressure(psi)	Rate (gpm)
70.29	1332.85	0.00
70.36	1342.26	0.00
70.42	1353.66	0.00
70.49	1362.41	0.00
70.55	1369.63	0.00
70.60	1377.38	0.00
70.66	1467.87	0.00
70.71	1632.46	0.00
70.77	1867.53	0.00
70.82	2142.58	0.00
70.90	2213.46	0.00
70.95	2216.21	0.00
71.00	2228.25	0.17
71.06	2203.89	9.65
71.12	2229.24	14.73
71.17	2221.31	19.35
71.25	2213.09	20.99
71.30	2205.42	21.21
71.35	2207.03	23.08
71.41	2224.45	25.84
71.41	2229.34	29.39
71.52	2206.85	29.84
71.52	2203.12	27.93
71.65	2222.08	29.61
71.70	2207.32	29.56
71.76	2210.63	28.83
71.81	2210.58	30.29
71.87	2196.32	30.75
71.92	2202.89	30.80
71.98	2194.85	31.25
72.05	2198.22	31.81
72.11	2205.81	31.99
72.16	2202.62	32.15
72.22	2209.41	32.33
72.27	2207.61	32.44
72.32	2202.46	32.78
72.38	2199.00	33.40
72.45	2193.86	33.34
72.51	2187.87	33.17
72.57	2186.66	33.17
72.62	2193.86	33.23
72.67	2205.50	33.23
72.75	2201.45	33.40
72.80	2203.75	33.56
72.86	2199.78	33.40
72.91	2203.76	33.51
72.97	2204.57	33.56
73.02	2205.35	33.23
73.08	2207.54	33.06
73.15	2207.69	33.34
73.21	2208.25	33.06
73.26	2212.58	32.38
73.31	2211.80	31.81
73.37	2193.85	32.21
73.43	2188.53	15.91
73.48	2182.42	1.58
73.56	2175.29	0.23
73.61	2180.40	0.11
73.66	2035.54	0.11
73.72	1959.53	0.11
73.77	1941.02	0.06
73.83	1931.58	0.06
73.89	1924.84	0.06
73.96	1919.05	0.06
74.01	1913.74	0.06
74.07	1908.89	0.06
74.12	1904.22	0.00
74.18	1899.87	0.06
74.23	1895.64	0.00
74.29	1891.62	0.00
74.36	1887.73	0.06
74.42	1883.97	0.00
74.47	1880.40	0.00
74.53	1876.80	0.00
74.58	1873.43	0.00
74.63	1870.04	0.00
74.71	1866.74	0.00
74.76	1863.51	0.00
74.82	1860.36	0.00
74.88	1857.25	0.00
74.93	1854.18	0.00
74.98	1851.17	0.00
75.04	1848.19	0.00
75.11	1845.26	0.00
75.17	1842.41	0.00
75.22	1839.59	0.00
75.28	1836.75	0.00
75.33	1833.96	0.00
75.39	1831.28	0.00
75.44	1828.71	0.00
75.52	1826.09	0.00
75.57	1823.57	0.00
75.62	1821.14	0.00
75.68	1818.70	0.00
75.74	1816.33	0.00
75.79	1813.98	0.00
75.87	1811.10	0.00
75.92	1808.88	0.00
75.97	1806.74	0.00
76.03	1804.52	0.00
76.10	1802.17	0.00
76.16	1800.02	0.00
76.21	1797.95	0.00
76.27	1795.92	0.00
76.32	1793.92	0.00
76.38	1791.93	0.00
76.43	1790.10	0.00
76.51	1788.22	0.00
76.56	1786.40	0.00
76.61	1784.59	0.00
76.67	1782.79	0.00
76.73	1780.96	0.00
76.78	1779.24	0.00
76.84	1777.56	0.00
76.89	1775.85	0.00
76.94	1774.21	0.00
77.02	1772.62	0.00
77.07	1771.08	0.00
77.13	1769.55	0.00
77.19	1768.07	0.00
77.24	1766.66	0.00
77.29	1765.29	0.00
77.35	1763.95	0.00
77.42	1762.68	0.00
77.48	1761.44	0.00
